datetime,CicloActivo,ReiniciarCiclo,AbortarCiclo,FinCiclo,ID_Control,Nombre_Control,ID_EC,NombreCiclo
2026-03-04T16:01:00Z,true,false,false,false,,,A2026,04MAR

2026-03-04T16:01:00Z,true,false,false,false,001F,,A2026,04MAR

2026-03-04T16:05:02Z,true,false,false,false,002F,,A2026,04MAR

2026-03-04T16:05:30Z,true,false,false,false,003F,,A2026,04MAR

2026-03-04T15:43:25Z,true,false,false,false,100L,,A2026,04MAR

2026-03-04T15:43:36Z,true,false,false,false,101L,,A2026,04MAR

2026-03-04T15:43:46Z,true,false,false,false,102L,,A2026,04MAR

2026-03-04T15:43:56Z,true,false,false,false,103L,,A2026,04MAR

2026-03-04T15:44:14Z,true,false,false,false,104F,,A2026,04MAR

2026-03-04T15:44:22Z,true,false,false,false,105F,,A2026,04MAR

2026-03-04T15:44:30Z,true,false,false,false,106F,,A2026,04MAR

2026-03-04T15:46:51Z,true,false,false,false,107F,,A2026,04MAR

2026-03-04T15:46:55Z,true,false,false,false,108F,,A2026,04MAR

2026-03-04T15:12:29Z,true,false,false,false,10F,,A2026,04MAR

2026-03-04T15:47:02Z,true,false,false,false,111F,,A2026,04MAR

2026-03-04T15:47:07Z,true,false,false,false,113F,,A2026,04MAR

2026-03-04T15:47:22Z,true,false,false,false,114L,,A2026,04MAR

2026-03-04T15:47:31Z,true,false,false,false,116L,,A2026,04MAR

2026-03-04T15:47:37Z,true,false,false,false,117L,,A2026,04MAR

2026-03-04T15:47:42Z,true,false,false,false,118L,,A2026,04MAR

2026-03-04T15:47:50Z,true,false,false,false,119F,,A2026,04MAR

2026-03-04T15:12:51Z,true,false,false,false,11F,,A2026,04MAR

2026-03-04T15:48:00Z,true,false,false,false,122F,,A2026,04MAR

2026-03-04T15:48:04Z,true,false,false,false,123F,,A2026,04MAR

2026-03-04T15:48:10Z,true,false,false,false,126F,,A2026,04MAR

2026-03-04T15:48:13Z,true,false,false,false,127F,,A2026,04MAR

2026-03-04T15:48:30Z,true,false,false,false,129L,,A2026,04MAR

2026-03-04T15:13:00Z,true,false,false,false,12F,,A2026,04MAR

2026-03-04T15:48:40Z,true,false,false,false,131L,,A2026,04MAR

2026-03-04T15:48:45Z,true,false,false,false,132L,,A2026,04MAR

2026-03-04T15:48:50Z,true,false,false,false,133L,,A2026,04MAR

2026-03-04T15:48:59Z,true,false,false,false,134F,,A2026,04MAR

2026-03-04T15:49:08Z,true,false,false,false,137F,,A2026,04MAR

2026-03-04T15:49:12Z,true,false,false,false,138F,,A2026,04MAR

2026-03-04T15:16:42Z,true,false,false,false,13L,,A2026,04MAR

2026-03-04T15:49:19Z,true,false,false,false,141F,,A2026,04MAR

2026-03-04T15:49:24Z,true,false,false,false,143F,,A2026,04MAR

2026-03-04T15:49:39Z,true,false,false,false,144L,,A2026,04MAR

2026-03-04T15:49:48Z,true,false,false,false,146L,,A2026,04MAR

2026-03-04T15:49:53Z,true,false,false,false,147L,,A2026,04MAR

2026-03-04T15:49:59Z,true,false,false,false,148L,,A2026,04MAR

2026-03-04T15:50:07Z,true,false,false,false,149F,,A2026,04MAR

2026-03-04T15:17:15Z,true,false,false,false,14L,,A2026,04MAR

2026-03-04T15:50:17Z,true,false,false,false,152F,,A2026,04MAR

2026-03-04T15:50:20Z,true,false,false,false,153F,,A2026,04MAR

2026-03-04T15:50:27Z,true,false,false,false,156F,,A2026,04MAR

2026-03-04T15:50:29Z,true,false,false,false,157F,,A2026,04MAR

2026-03-04T15:50:47Z,true,false,false,false,159L,,A2026,04MAR

2026-03-04T15:17:37Z,true,false,false,false,15L,,A2026,04MAR

2026-03-04T15:50:56Z,true,false,false,false,161L,,A2026,04MAR

2026-03-04T15:51:02Z,true,false,false,false,162L,,A2026,04MAR

2026-03-04T15:51:07Z,true,false,false,false,163L,,A2026,04MAR

2026-03-04T15:51:15Z,true,false,false,false,164F,,A2026,04MAR

2026-03-04T15:51:25Z,true,false,false,false,167F,,A2026,04MAR

2026-03-04T15:51:29Z,true,false,false,false,168F,,A2026,04MAR

2026-03-04T15:17:50Z,true,false,false,false,16L,,A2026,04MAR

2026-03-04T15:51:35Z,true,false,false,false,171F,,A2026,04MAR

2026-03-04T15:51:40Z,true,false,false,false,173F,,A2026,04MAR

2026-03-04T15:51:55Z,true,false,false,false,174L,,A2026,04MAR

2026-03-04T15:52:05Z,true,false,false,false,176L,,A2026,04MAR

2026-03-04T15:52:10Z,true,false,false,false,177L,,A2026,04MAR

2026-03-04T15:52:15Z,true,false,false,false,178L,,A2026,04MAR

2026-03-04T15:52:24Z,true,false,false,false,179F,,A2026,04MAR

2026-03-04T15:18:06Z,true,false,false,false,17L,,A2026,04MAR

2026-03-04T15:52:33Z,true,false,false,false,182F,,A2026,04MAR

2026-03-04T15:52:37Z,true,false,false,false,183F,,A2026,04MAR

2026-03-04T15:52:44Z,true,false,false,false,186F,,A2026,04MAR

2026-03-04T15:52:49Z,true,false,false,false,188F,,A2026,04MAR

2026-03-04T15:53:04Z,true,false,false,false,189L,,A2026,04MAR

2026-03-04T15:18:15Z,true,false,false,false,18L,,A2026,04MAR

2026-03-04T15:53:58Z,true,false,false,false,190L,,A2026,04MAR

2026-03-04T15:54:10Z,true,false,false,false,191L,,A2026,04MAR

2026-03-04T15:54:29Z,true,false,false,false,192L,,A2026,04MAR

2026-03-04T15:54:46Z,true,false,false,false,193L,,A2026,04MAR

2026-03-04T15:56:06Z,true,false,false,false,194F,,A2026,04MAR

2026-03-04T15:56:51Z,true,false,false,false,195F,,A2026,04MAR

2026-03-04T15:57:46Z,true,false,false,false,196F,,A2026,04MAR

2026-03-04T15:57:57Z,true,false,false,false,197F,,A2026,04MAR

2026-03-04T15:57:57Z,true,false,false,false,197F,,A2026,04MAR

2026-03-04T15:58:31Z,true,false,false,false,198F,,A2026,04MAR

2026-03-04T15:58:41Z,true,false,false,false,199F,,A2026,04MAR

2026-03-04T15:18:23Z,true,false,false,false,19L,,A2026,04MAR

2026-03-04T14:57:26Z,true,false,false,false,1F,,A2026,04MAR

2026-03-04T15:59:25Z,true,false,false,false,201F,,A2026,04MAR

2026-03-04T15:59:25Z,true,false,false,false,201F,,A2026,04MAR

2026-03-04T16:00:00Z,true,false,false,false,202F,,A2026,04MAR

2026-03-04T16:00:10Z,true,false,false,false,203F,,A2026,04MAR

2026-03-04T16:03:48Z,true,false,false,false,210F,,A2026,04MAR

2026-03-04T16:05:15Z,true,false,false,false,211F,,A2026,04MAR

2026-03-04T16:06:03Z,true,false,false,false,212L,,A2026,04MAR

2026-03-04T16:06:17Z,true,false,false,false,213L,,A2026,04MAR

2026-03-04T16:06:18Z,true,false,false,false,213L,,A2026,04MAR

2026-03-04T16:06:32Z,true,false,false,false,214L,,A2026,04MAR

2026-03-04T16:10:52Z,true,false,false,false,216L,,A2026,04MAR

2026-03-04T16:11:33Z,true,false,false,false,217L,,A2026,04MAR

2026-03-04T16:11:55Z,true,false,false,false,218L,,A2026,04MAR

2026-03-04T15:18:54Z,true,false,false,false,21F,,A2026,04MAR

2026-03-04T16:13:41Z,true,false,false,false,222L,,A2026,04MAR

2026-03-04T16:13:57Z,true,false,false,false,223L,,A2026,04MAR

2026-03-04T16:14:11Z,true,false,false,false,224L,,A2026,04MAR

2026-03-04T16:14:23Z,true,false,false,false,225L,,A2026,04MAR

2026-03-04T16:14:34Z,true,false,false,false,226L,,A2026,04MAR

2026-03-04T16:14:45Z,true,false,false,false,227L,,A2026,04MAR

2026-03-04T16:15:16Z,true,false,false,false,228L,,A2026,04MAR

2026-03-04T16:15:16Z,true,false,false,false,228L,,A2026,04MAR

2026-03-04T16:15:34Z,true,false,false,false,229L,,A2026,04MAR

2026-03-04T15:19:09Z,true,false,false,false,22F,,A2026,04MAR

2026-03-04T16:15:47Z,true,false,false,false,230L,,A2026,04MAR

2026-03-04T16:15:58Z,true,false,false,false,231L,,A2026,04MAR

2026-03-04T16:16:29Z,true,false,false,false,232L,,A2026,04MAR

2026-03-04T16:16:29Z,true,false,false,false,232L,,A2026,04MAR

2026-03-04T16:16:40Z,true,false,false,false,233L,,A2026,04MAR

2026-03-04T15:19:22Z,true,false,false,false,23F,,A2026,04MAR

