datetime,CicloActivo,ReiniciarCiclo,AbortarCiclo,FinCiclo,ID_Control,Nombre_Control,ID_EC,NombreCiclo
2025-12-29T15:42:58Z,true,false,false,false,,,H,H

2025-12-29T15:42:58Z,true,false,false,false,100L,,H,H

2025-12-29T15:43:04Z,true,false,false,false,101L,,H,H

2025-12-29T15:43:10Z,true,false,false,false,102L,,H,H

2025-12-29T15:43:23Z,true,false,false,false,104F,,H,H

2025-12-29T15:43:27Z,true,false,false,false,105F,,H,H

2025-12-29T15:43:31Z,true,false,false,false,106F,,H,H

2025-12-29T15:43:35Z,true,false,false,false,107F,,H,H

2025-12-29T15:43:43Z,true,false,false,false,109F,,H,H

2025-12-29T15:35:47Z,true,false,false,false,10F,,H,H

2025-12-29T15:43:50Z,true,false,false,false,111F,,H,H

2025-12-29T15:43:53Z,true,false,false,false,112F,,H,H

2025-12-29T15:44:04Z,true,false,false,false,114L,,H,H

2025-12-29T15:44:09Z,true,false,false,false,115L,,H,H

2025-12-29T15:44:15Z,true,false,false,false,116L,,H,H

2025-12-29T15:44:21Z,true,false,false,false,117L,,H,H

2025-12-29T15:44:27Z,true,false,false,false,118L,,H,H

2025-12-29T15:44:34Z,true,false,false,false,119F,,H,H

2025-12-29T15:44:38Z,true,false,false,false,120F,,H,H

2025-12-29T15:44:46Z,true,false,false,false,122F,,H,H

2025-12-29T15:44:51Z,true,false,false,false,123F,,H,H

2025-12-29T15:44:58Z,true,false,false,false,125F,,H,H

2025-12-29T15:45:04Z,true,false,false,false,127F,,H,H

2025-12-29T15:45:14Z,true,false,false,false,129L,,H,H

2025-12-29T15:45:19Z,true,false,false,false,130L,,H,H

2025-12-29T15:45:26Z,true,false,false,false,131L,,H,H

2025-12-29T15:45:32Z,true,false,false,false,132L,,H,H

2025-12-29T15:45:38Z,true,false,false,false,133L,,H,H

2025-12-29T15:45:44Z,true,false,false,false,134F,,H,H

2025-12-29T15:45:49Z,true,false,false,false,135F,,H,H

2025-12-29T15:45:53Z,true,false,false,false,136F,,H,H

2025-12-29T15:46:02Z,true,false,false,false,138F,,H,H

2025-12-29T15:36:00Z,true,false,false,false,13L,,H,H

2025-12-29T15:46:09Z,true,false,false,false,140F,,H,H

2025-12-29T15:46:12Z,true,false,false,false,141F,,H,H

2025-12-29T15:46:36Z,true,false,false,false,146L,,H,H

2025-12-29T15:46:43Z,true,false,false,false,147L,,H,H

2025-12-29T15:46:49Z,true,false,false,false,148L,,H,H

2025-12-29T15:46:55Z,true,false,false,false,149F,,H,H

2025-12-29T15:36:05Z,true,false,false,false,14L,,H,H

2025-12-29T15:47:00Z,true,false,false,false,150F,,H,H

2025-12-29T15:47:04Z,true,false,false,false,151F,,H,H

2025-12-29T15:47:08Z,true,false,false,false,152F,,H,H

2025-12-29T15:47:16Z,true,false,false,false,154F,,H,H

2025-12-29T15:47:22Z,true,false,false,false,156F,,H,H

2025-12-29T15:47:29Z,true,false,false,false,158F,,H,H

2025-12-29T15:47:36Z,true,false,false,false,159L,,H,H

2025-12-29T15:36:09Z,true,false,false,false,15L,,H,H

2025-12-29T15:47:41Z,true,false,false,false,160L,,H,H

2025-12-29T15:47:47Z,true,false,false,false,161L,,H,H

2025-12-29T15:47:53Z,true,false,false,false,162L,,H,H

2025-12-29T15:48:00Z,true,false,false,false,163L,,H,H

2025-12-29T15:48:06Z,true,false,false,false,164F,,H,H

2025-12-29T15:48:11Z,true,false,false,false,165F,,H,H

2025-12-29T15:48:15Z,true,false,false,false,166F,,H,H

2025-12-29T15:48:24Z,true,false,false,false,168F,,H,H

2025-12-29T15:36:13Z,true,false,false,false,16L,,H,H

2025-12-29T15:48:30Z,true,false,false,false,170F,,H,H

2025-12-29T15:48:33Z,true,false,false,false,171F,,H,H

2025-12-29T15:48:47Z,true,false,false,false,174L,,H,H

2025-12-29T15:48:52Z,true,false,false,false,175L,,H,H

2025-12-29T15:48:58Z,true,false,false,false,176L,,H,H

2025-12-29T15:49:04Z,true,false,false,false,177L,,H,H

2025-12-29T15:49:11Z,true,false,false,false,178L,,H,H

2025-12-29T15:49:17Z,true,false,false,false,179F,,H,H

2025-12-29T15:49:21Z,true,false,false,false,180F,,H,H

2025-12-29T15:49:25Z,true,false,false,false,181F,,H,H

2025-12-29T15:49:34Z,true,false,false,false,183F,,H,H

2025-12-29T15:49:41Z,true,false,false,false,185F,,H,H

2025-12-29T15:49:44Z,true,false,false,false,186F,,H,H

2025-12-29T15:49:58Z,true,false,false,false,189L,,H,H

2025-12-29T15:36:23Z,true,false,false,false,18L,,H,H

2025-12-29T15:50:09Z,true,false,false,false,191L,,H,H

2025-12-29T15:50:15Z,true,false,false,false,192L,,H,H

2025-12-29T15:50:21Z,true,false,false,false,193L,,H,H

2025-12-29T15:50:28Z,true,false,false,false,194F,,H,H

2025-12-29T15:50:28Z,true,false,false,false,194F,,H,H

2025-12-29T15:50:32Z,true,false,false,false,195F,,H,H

2025-12-29T15:50:40Z,true,false,false,false,197F,,H,H

2025-12-29T15:50:48Z,true,false,false,false,199F,,H,H

2025-12-29T15:36:27Z,true,false,false,false,19L,,H,H

2025-12-29T15:35:16Z,true,false,false,false,1F,,H,H

2025-12-29T15:50:52Z,true,false,false,false,200F,,H,H

2025-12-29T15:50:58Z,true,false,false,false,202F,,H,H

2025-12-29T15:51:09Z,true,false,false,false,204L,,H,H

2025-12-29T15:51:13Z,true,false,false,false,205L,,H,H

2025-12-29T15:51:19Z,true,false,false,false,206L,,H,H

2025-12-29T15:51:23Z,true,false,false,false,207L,,H,H

2025-12-29T15:51:29Z,true,false,false,false,208L,,H,H

2025-12-29T15:51:53Z,true,false,false,false,210F,,H,H

2025-12-29T15:51:53Z,true,false,false,false,210F,,H,H

2025-12-29T15:52:08Z,true,false,false,false,211F,,H,H

2025-12-29T15:52:08Z,true,false,false,false,211F,,H,H

2025-12-29T15:52:34Z,true,false,false,false,212L,,H,H

2025-12-29T15:52:34Z,true,false,false,false,212L,,H,H

2025-12-29T15:52:26Z,true,false,false,false,213L,,H,H

2025-12-29T15:52:14Z,true,false,false,false,214L,,H,H

2025-12-29T15:52:49Z,true,false,false,false,215T,,H,H

2025-12-29T15:53:07Z,true,false,false,false,216L,,H,H

2025-12-29T15:53:16Z,true,false,false,false,217L,,H,H

2025-12-29T15:53:24Z,true,false,false,false,218L,,H,H

2025-12-29T15:53:38Z,true,false,false,false,219L,,H,H

2025-12-29T15:53:46Z,true,false,false,false,220L,,H,H

2025-12-29T15:53:54Z,true,false,false,false,221L,,H,H

2025-12-29T15:54:11Z,true,false,false,false,222L,,H,H

2025-12-29T15:54:16Z,true,false,false,false,223L,,H,H

2025-12-29T15:54:21Z,true,false,false,false,224L,,H,H

2025-12-29T15:54:26Z,true,false,false,false,225L,,H,H

2025-12-29T15:54:31Z,true,false,false,false,226L,,H,H

2025-12-29T15:54:36Z,true,false,false,false,227L,,H,H

2025-12-29T15:54:53Z,true,false,false,false,228L,,H,H

2025-12-29T15:54:53Z,true,false,false,false,228L,,H,H

2025-12-29T15:54:58Z,true,false,false,false,229L,,H,H

2025-12-29T15:55:13Z,true,false,false,false,232L,,H,H

2025-12-29T15:55:18Z,true,false,false,false,233L,,H,H

2025-12-29T15:55:38Z,true,false,false,false,234F,,H,H

2025-12-29T15:55:44Z,true,false,false,false,235F,,H,H

2025-12-29T15:55:50Z,true,false,false,false,236F,,H,H

2025-12-29T15:55:53Z,true,false,false,false,237F,,H,H

2025-12-29T15:55:59Z,true,false,false,false,238F,,H,H

2025-12-29T15:56:05Z,true,false,false,false,239F,,H,H

2025-12-29T15:59:07Z,true,false,false,false,239F,,H,H

2025-12-29T15:59:20Z,true,false,false,false,239F,,H,H

2025-12-29T15:59:38Z,true,false,false,false,239F,,H,H

